"","TreeID","Girth_cm","Score"
"139",2129,37,3.18181818181818
"140",2132,37,3.5625
"141",2134,37,3.23076923076923
"142",2184,37,4
"143",2257,37,3.63636363636364
"144",2355,37,3.4
"145",2559,37,3.33333333333333
"146",178,38,3.09090909090909
"147",313,38,2.53846153846154
"148",671,38,3.52631578947368
"149",798,38,3.44
"150",870,38,3.76271186440678
"151",955,38,4
"152",1116,38,2.5
"153",1306,38,3.53658536585366
"154",1449,38,4.25
"155",1745,38,3.47368421052632
"156",2015,38,3.25
"157",2021,38,3.47058823529412
"158",2028,38,3.5
"159",2038,38,3.23076923076923
"160",2279,38,3.63636363636364
"161",2381,38,3.42857142857143
"162",2436,38,3.5
"163",144,39,3.36842105263158
"164",469,39,2.1304347826087
"165",693,39,3.74358974358974
"166",796,39,3.65217391304348
"167",1307,39,3.81578947368421
"168",1353,39,3.63157894736842
"169",1358,39,3.63157894736842
"170",1865,39,3.81818181818182
"171",1913,39,3
"172",2382,39,3.88888888888889
"173",2386,39,3.44444444444444
"174",696,40,3.57142857142857
"175",726,40,2.06382978723404
"176",787,40,3.41666666666667
"177",1375,40,4.125
"178",1379,40,3.8125
"179",1449,40,3.63157894736842
"180",1497,40,3.45833333333333
"181",1564,40,3.52631578947368
"182",2128,40,4
"183",162,41,3.25
"184",171,41,3.47619047619048
"185",746,41,3.65
"186",788,41,3.52173913043478
"187",802,41,3.5
"188",1018,41,3.46808510638298
"189",1298,41,3.6
"190",1749,41,3.8780487804878
"191",2121,41,3.64285714285714
"192",2135,41,3.5625
"193",2208,41,3.41176470588235
"194",338,42,3.35
"195",1018,42,3.17073170731707
"196",1270,42,3.68292682926829
"197",1524,42,3.43243243243243
"198",1564,42,4.15789473684211
"199",1669,42,3.33333333333333
"200",1995,42,3.3125
"201",2119,42,3.92857142857143
"202",2332,42,3.33333333333333
"203",2359,42,3.4375
"204",2484,42,3.57142857142857
"205",2574,42,3.71428571428571
"206",506,43,3.73684210526316
"207",1043,43,3.42857142857143
"208",1713,43,3.57142857142857
"209",2066,43,3.63636363636364
"210",2354,43,3.61538461538462
"211",2493,43,3.6
"212",2599,43,4
"213",2643,43,4.33333333333333
"214",155,44,3.16666666666667
"215",170,44,3.21052631578947
"216",181,44,3.27777777777778
"217",452,44,3.21428571428571
"218",1121,44,4.28571428571429
"219",1273,44,3.3265306122449
"220",1524,44,3.48888888888889
"221",1837,44,3.5
"222",1866,44,3.85714285714286
"223",1899,44,2
"224",2556,44,3.7
"225",2570,44,3.625
"226",145,45,3.40909090909091
"227",179,45,3.4375
"228",407,45,2.94736842105263
"229",555,45,3.31818181818182
"230",866,45,2.5
"231",884,45,3.2
"232",1222,45,4.1
"233",1493,45,4
"234",1529,45,3.70833333333333
"235",1708,45,3.19230769230769
"236",1748,45,2.975
"237",1749,45,3.46551724137931
"238",1958,45,3.33333333333333
"239",1985,45,3.5
"240",2542,45,3.71428571428571
"241",2544,45,3.75
"242",363,46,3.07352941176471
"243",721,46,3.5
"244",940,46,3
"245",1044,46,3.38461538461538
"246",1218,46,3.5
"247",1312,46,3.04545454545455
"248",1376,46,3.43478260869565
"249",1495,46,3.91666666666667
"250",1618,46,3.30434782608696
"251",1868,46,3.5
"252",1881,46,3.78571428571429
"253",1888,46,3.53846153846154
"254",1977,46,3.46153846153846
"255",2154,46,3.28571428571429
"256",2308,46,3.4
"257",2362,46,3.71428571428571
"258",2550,46,3.88888888888889
"259",164,47,3.41666666666667
"260",548,47,3.19047619047619
"261",851,47,3.41176470588235
"262",870,47,4.14634146341463
"263",1267,47,3.1304347826087
"264",1290,47,3.34782608695652
"265",1429,47,4.58333333333333
"266",1493,47,3.74
"267",1519,47,4.1875
"268",1550,47,3.30952380952381
"269",1712,47,2.875
"270",1748,47,2.75
"271",1807,47,0
"272",1876,47,3.33333333333333
"273",2076,47,3.78571428571429
"274",2115,47,3.2
"275",2314,47,4
"276",425,48,3.1875
"277",546,48,3.47368421052632
"278",549,48,3.31147540983607
"279",556,48,2.80952380952381
"280",1246,48,3.65217391304348
"281",1356,48,3.31481481481481
"282",1422,48,3.41176470588235
"283",1648,48,3.39130434782609
"284",1697,48,3.5609756097561
"285",1873,48,2.85714285714286
"286",2277,48,3.84615384615385
"287",2317,48,3.83333333333333
"288",2564,48,3.8
"289",2632,48,3.66666666666667
"290",2656,48,3.88888888888889
"291",163,49,3.5
"292",176,49,3.52941176470588
"293",300,49,3.13114754098361
"294",337,49,3.66666666666667
"295",364,49,3.43333333333333
